Type,Message
0,weird know one point
0,dear go rubber place
0,still area restaur ill tri come back soon
1,mobil 11mth updat free orang latest colour camera mobil unlimit weekend call call mobil upd8 freefon 08000839402 2stoptx
0,sweet heart
1,1 new messag pleas call 08718738034
0,effect irrit ignor
0,good afternoon love goe day sleep hope well boytoy think
0,make squeez lt gt buck dad
0,gettin bit arti collag mo well tryin 2 ne way got roast min love shall enjoy
0,hello damn christma thing think decid keep mp3 doesnt work
0,stalk u
0,like italian food
0,happi valentin day advanc
0,go join tomorrow
0,guai ü shd haf seen naughti ü free today go jog
0,sac score big set batsman
1,win year suppli cd 4 store ur choic worth enter weekli draw txt music 87066 ts cs
0,u buy newspap alreadi
0,east coast
0,time want come
0,
0,think go honesti road call bank tomorrow tough decis make us great peopl
0,prefer free day tue wed fri oso ü ask workin lor
0,per request mell oru minnaminungint nurungu vettam set callertun caller press 9 copi friend callertun
0,hope thing went well remind still need u c littl thing left loung
1,1 new messag call
0,alright see bit
0,tri figur suppos see coupl differ peopl week said get togeth set date
0,home way
0,sorri dude dont know forgot even dan remind sorri hope guy fun
0,v romant
0,carlo say mu lt gt minut
0,ok walik ard u wan 2 buy anyth go ur hous
0,unbeliev faglord
0,dun cut short leh u dun like ah fail quit sad
0,hey gave photo regist drive ah tmr wan na meet yck
0,dear angri busi dear
0,wait msg lt gt min
0,sorri hurt
1,six chanc win cash 100 pound txt csh11 send cost 6day tsandc appli repli hl 4 info
0,man carlo definit come mu tonight excus
0,youdo later sar xxx
0,babe think got ur brolli left english wil bring 2mrw 4 u luv franxx
1,u r subscrib 2 textcomp 250 wkli comp 1st wk free question follow subsequ wk charg unsubscrib txt stop 2 84128 custcar 08712405020
0,take lt gt min
0,reassur crazi world
1,guarante 32000 award mayb even cash claim ur award call free 0800 legitimat efreefon number wat u think
0,meant calcul lt gt unit lt gt school realli expens start practic accent import decid 4year dental school nmde exam
0,oh come ah
0,go walmart stay
0,signific dont worri
0,oh brand
0,actual delet old websit blog
0,would realli appreci call need someon talk
0,hey thk juz go accordin wat discuss yest lor except kb sun co nt much lesson go attend kb sat
0,cheer messag zogtoriu stare phone age decid whether text
0,kay sinc alreadi
0,everi day use sleep lt gt
0,give someth drink take vomit temp might drop unmit howev let know
0,guy
0,ill call even ill idea
1,congrat 2 mobil 3g videophon r call 09063458130 videochat wid mate play java game dload polyph music nolin rentl
0,hello r u im bore inev thought id get bore tv tell someth excit happen anyth
0,think sent text home phone cant display text still want send number
0,cool shall go see go tip anyway home got someth drop later let go town tonight mayb mum take us
0,ok let noe later n ask call u tmr
1,mobil 11 month u r entitl updat latest colour mobil camera free call mobil updat co free 08002986030
0,total disappoint text craziest shit got
0,make babi yo tho
0,im gonnamissu much would say il send u postcard butther abouta much chanc merememberin asther ofsi breakin contract luv yaxx
0,know wot peopl wear shirt jumper hat belt know r cribb
1,2p per min call germani 08448350055 bt line 2p per min check info c text stop opt
1,money r lucki winner 2 claim prize text money 2 88600 give away text rate box403 w1t1ji
1,congrat 1 year special cinema pass 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free 150pm dont miss
0,ooooooh forgot tell u get yovil phone
1,urgent mobil 07xxxxxxxxx bonu caller prize 2nd attempt reach call 09066362231 asap box97n7qp 150ppm
0,sure stomach
0,hav almost reach call unabl connect u
1,urgent call 09061749602 landlin complimentari 4 tenerif holiday cash await collect sae cs box 528 hp20 1yf 150ppm
0,thank gener date brotha
0,hello wat talk email address
0,god love limit god grace measur god power boundari may u god endless bless alway ur life gud ni8
0,get gandhipuram walk cross cut road right side lt gt street road turn first right
0,oh god gon na googl nearbi cliff
0,know thinkin malaria relax children cant handl malaria would wors gastroenter take enough replac loss temp reduc give malaria med vomit self limit ill mean day complet stop
0,ok
1,heard u4 call 4 rude chat privat line 01223585334 cum wan 2c pic gettin shag text pix 8552 2end send stop 8552 sam xxx
0,hey cuti goe wale kinda like hill shit still avent kill
0,u wana see
0,hi darlin finish 3 u 1 2 pick meet text back number luv kate xxx
0,k colleg
0,stop call everyon say might cancer throat hurt talk ca answer everyon call get one call babysit monday
0,ok lor earli still project meet
0,huh fast dat mean u havent finish paint
0,tell friend plan valentin day lt url gt
0,thankyou much call appreci care
0,easi ah sen got select mean good
0,wat ü
0,run away frm u walk slowli amp kill u care enough stop
0,time think need know near campu
1,sparkl shop break 45 per person call 0121 2025050 visit
0,watch cartoon listen music amp eve go templ amp church u
1,import messag final contact attempt import messag wait custom claim dept expir call 08717507382
0,hi hope good day better night
0,print oh lt gt come upstair
0,go jurong point crazi avail bugi n great world la e buffet cine got amor wat
0,ye u text pshew miss much
0,lol enjoy role play much
0,hate call didnt accept even singl call mine even messag
0,oh great disturb talk
0,daddi shu shu look 4 u u wan 2 tell u singapor wat
0,app class varaya elaya
1,500 new mobil 2004 must go txt nokia 89545 collect today 2optout
1,lastest stereophon marley dizze racal libertin stroke win nookii game flirt click themob wap bookmark text wap 82468
1,urgent tri contact today draw show prize guarante call 09050001808 land line claim m95 valid12hr
1,call 09095350301 send girl erot ecstaci stop text call 08712460324 nat rate
0,k wen ur free come home also tel vikki hav sent mail also better come even il free today aftr 6pm
1,dear matthew pleas call 09063440451 landlin complimentari 4 lux tenerif holiday cash await collect ppm150 sae cs box334 sk38xh
0,puriti friendship two smile read forward messag smile see name gud evng
0,hmm bad news hype park plaza 700 studio taken left 2 900
0,alex know guy sell mid south tampa think could set like 8
0,ok prob take ur time
1,mobi pub high street prize u know new duchess cornwal txt first name stop 008704050406 sp arrow
0,ok theori test ü go book think 21 may coz thought wan na go jiayin isnt free
0,ugh got ta drive back sd la butt sore
0,freez crave ice fml
0,fine thank
0,get step 2 outta way congrat
0,cours make stink
0,r u sure understand wine good idea slurp
0,great princess think
0,ok bu come soon come otherwis tomorrow
0,movi call 4 wat
0,wait least wednesday see get
0,sing hu think also import find someon femal know place well prefer citizen also smart help navig even thing like choos phone plan requir guidanc doubt ask especi girl
0,beauti truth graviti read care heart feel light someon feel heavi someon leav good night
1,sm servic inclus text credit pl goto 3qxj9 unsubscrib stop extra charg help 9ae
0,gr8 handl victoria island traffic plu album due
0,tell dear happen talk like alian
0,didnt complet gist oh
1,contract mobil 11 mnth latest motorola nokia etc free doubl min text orang tariff text ye callback remov record
1,marvel mobil play offici ultim game ur mobil right text spider 83338 game send u free 8ball wallpap
0,wake gt
0,dunno lei shd b drive lor co go sch 1 hr oni
0,wish wonder week
0,hi kindli give us back document submit loan stapati
0,wont b tri 2 sort hous ok
0,oh yeah diet flew window
0,well obvious peopl cool colleg life went home
1,free camera phone linerent 750 cross ntwk min price txt bundl deal also avbl call 08001950382 mf
0,cool time think get
0,hmm shall bring bottl wine keep us amus joke still bring bottl red white see tomorrow
0,well keep mind got enough ga one round trip bar sudden influx cash
0,make dinner
0,geeee miss alreadi know think fuck ca wait till next year togeth love kiss
0,offic call lt gt min
0,er yeah b sorri tell sit come wen u
0,os call ubandu run without instal hard disk use os copi import file system give repair shop
0,work pleas call
0,slow use biola fne
1,urgent 1 week free membership prize jackpot txt word claim 81010 c lccltd pobox 4403ldnw1a7rw18
0,hey compani elama po mudyadhu
0,hey iouri gave number wyli ryan friend
0,yavnt tri yet never play origin either
0,gal n boy walk park hold ur hand u think would run away jst wana c feel walk heaven princ gn
0,tough
0,like spoil
0,shall bring us bottl wine keep us amus joke bring one anyway
0,telli brdget jone
0,sad stori man last week wife wish parent forgot n kid went work even colleagu wish enter cabin pa said happi boss felt special askd 4 lunch lunch invit apart went said u mind go bedroom minut ok sed sexi mood came 5 minut latr wid cake n wife parent kidz friend n colleagu scream surpris wait sofa nake
0,haha awesom omw back
1,sorri miss call let talk time 07090201529
0,hey babe u doin wot u 2 2nite love anni x
0,sort code acc bank natwest repli confirm sent right person
0,ur face test 1 2 3 4 5 6 7 8 9 lt gt select number tell ur face astrolog wait quick repli
0,get readi moan scream
0,wonder phone batteri went dead tell love babe
0,problem babi good time talk call left messag
0,alrit jod how revis goin keri bin doin smidgin n e way u wan na cum colleg xx
0,reach home safe n sound liao
0,yeah think use gt atm regist sure anyway help let know sure readi
0,ee msg na poortiyagi odalebeku hanumanji 7 name ee 7 name lt gt janarig ivatt kalisidar next saturday olag ondu good news keluviri maretar ind 1 dodda problum nalli siguviri idu matra lt gt true neglet
0,sad stori man last week wife wish parent forgot n kid went work even colleagu wish
0,know serv mean
0,aiyah ok wat long got improv alreadi wat
0,call one pick e phone ask alreadi said ok
0,send yetti number pl
0,li hai bore da lectur repeat last week stuff wast time
0,surf onlin store offer want buy thing
0,better made friday stuf like pig yesterday feel bleh least writh pain kind bleh
0,chinatown got porridg claypot rice yam cake fishhead beehoon either eat cheap den go cafe n tok go nydc somethin
0,friendship poem dear dear u r near hear dont get fear live cheer tear u r alway dear gud ni8
0,yup paragon havent decid whether 2 cut yet hee
0,ard 6 like dat lor
1,urgent last weekend draw show cash spanish holiday call 09050000332 claim c rstm sw7 3ss 150ppm
0,hard true much show amp express love someon much hurt leav get seper 〨ud even
1,freemsg hey darl 3 week word back like fun still tb ok xxx std chg send rcv
0,ask princess
1,get garden readi summer free select summer bulb seed worth scotsman saturday stop go2
0,want leav bare stay sane fight constantli help
0,went project centr
0,take exam march 3
0,ok noe u busi realli bore msg oso dunno wat colour choos 4 one
0,armand say get ass epsilon
0,want insid everi night
0,u dun say earli hor u c alreadi say
1,privat 2003 account statement 07808247860 show 800 point call 08719899229 identifi code 40411 expir
0,messag phone hold
0,place want da
0,two letter copi co one messag speak soon
0,go open room thanksgiv without upcharg
0,dont messag offer
0,oki ü wan meet bishan co bishan drive today
0,exact intent
0,life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happi morn
0,machan go gym tomorrow wil come late goodnight
1,forward 88877 free entri weekli comp send word enter 88877 18 c
0,superb grate u dont everyth u want mean u still opportun happier tomorrow u today
0,noth get msg di name wit differ
0,love give massag use lot babi oil fave posit
0,specialis work slave labor look month sha co shakara 4 beggar
0,k call close
1,want explicit sex 30 sec ring 02073162414 cost gsex pobox 2667 wc1n 3xx
0,think need go late school night especi one class one miss last wednesday probabl fail test friday
0,arun u transfr amt
0,yep get program slack
0,bring got
1,decemb mobil entitl updat latest colour camera mobil free call mobil updat co free 08002986906
0,ga station go
0,yeah ju rite
1,wml c
0,ca feel nauseou piss eat sweet week caus today plan pig diet week hungri
0,much cost approx per month
0,wont wat wit guy
0,perhap much easi give account identif tomorrow uni
0,come home 4 dinner
1,tddnewslett game thedailydraw dear helen dozen free game great prizeswith
0,much textin bout
0,take derek amp taylor walmart back time done leav mous desk text priscilla readi
0,oh gei happend tron mayb ill dl 3d
0,lol mad first woke gave
0,year mani mile
0,babe love cover face kiss
0,neither sterm voic studi fine sure thing resolv tho anyway fab hol
0,haha money leh later got go tuition haha look empti slot drive lesson
0,revers cheat mathemat
0,thanx lot 4 ur help
0,chk ur belovd ms dict
0,somebodi set websit play hold em use eve onlin spacebuck
0,dont talk ever ok word
0,make time tonight whenev cool text whenev around
1,ask 3mobil 0870 chatlin inclu free min india cust serv sed ye l8er got mega bill 3 dont giv shit bailiff due day 3 want
0,much buzi
0,u konw waht rael friendship im gving yuo exmpel jsut ese tih msg evrey splle tih msg wrnog bt sitll yuo ra wihtuot ayn mitsak goodnight amp nice sleep sweet dream
0,gd got free ice cream oso wan
0,want tell bad feel basic time text late need drug
0,want say holi shit guy kid bud
0,aight pick open tonight
0,x cours 2yr messag messeng lik r send
0,brainless babi doll vehicl sariyag drive madok barolla
0,want custom offic discount oh
1,winner valu network custom select receivea prize reward claim call claim code kl341 valid 12 hour
0,think mentor 100 percent sure
0,new theori argument win situat lose person dont argu ur friend kick amp say alway correct
0,yo guess drop
0,check head drop stuff
0,aight work thank
0,sleep surf
0,yeh indian nice tho kane bit shud go 4 drink sometim soon mite hav 2 go 2 da work 4 laugh soon love pete x x
0,worri hope photo shoot went well spif fun workag
0,get worri derek taylor alreadi assum worst
0,love decis feel could decid love life would much simpler less magic
0,think steyn sure get one wicket
0,guy plan come
0,pride almost lt gt year old takin money kid suppos deal stuff grownup stuff tell
0,cant pick phone right pl send messag
0,except there chick huge boob
0,nothin come mind ü help buy hanger lor ur laptop heavi
0,dont shall buy one dear
0,haha think
0,mummi boy good bad posit neg mummi made wait hmmmm
0,surpris still guess right lor
0,ofcours also upload song
0,dude go sup
0,yup thk e shop close lor
1,nokia 7250i get win free auction take part send nokia 86021
0,boy late 2 home father power frndship
0,ever easier
0,sound better even im costum im sure time finish tomorrow txt end
0,waaaat lololo ok next time
0,great role model give much realli wish day miracl god reason everyth must say wish knew dont look sinc young still great day
0,safe trip nigeria wish happi soon compani share moment
0,dude im longer pisc im aquariu
0,sent
0,tabl occupi wait tree
1,latest news polic station toilet stolen cop noth go
0,that cool day
0,day ask anand number
0,sunni california weather cool
0,will go aptitud class
0,hear loud scream lt gt minut caus gyno shove thing belong
0,theyr lot place hospit medic place safe
0,yun ubi one say ü wan call 67441233 look got ubi cre ubi tech 1st 5wkg
0,nope wif si lor aft bath dog bath look like go 2 rain soon
0,forgotten might coupl buck send tomorrow k love ya
0,insid offic still fill know leav
1,get touch folk wait compani txt back name age opt enjoy commun
0,eh sorri leh din c ur msg sad alreadi lar watch tv u still offic
1,urgent mobil number bonu caller prize 2nd attempt reach call 09066368753 asap box 97n7qp 150ppm
0,wait yesterday
1,forward 21870000 hi mailbox messag sm alert 4 messag 21 match pleas call back 09056242159 retriev messag match
0,got lot hair dresser fr china
0,sorri cant take call right happen r 2waxsto wat want come ill get medic insur abl deliv basic care current shop right medic insur give til friday morn that see major person guid right insur
0,u want come back beauti necklac token heart give wife see one give call wait till come
0,anyth specif regard jaklin idk fuck
0,haha leg neck kill amigo hope end night burn think could swing like hour
0,home
0,xma stori peac xma msg love xma miracl jesu hav bless month ahead amp wish u merri xma
1,thank rington order ref number r836 mobil charg tone arriv pleas call custom servic 09065069154
0,make happi
0,nite nite pocay wocay luv u n e thing 4eva promis ring u 2morrowxxxx
0,appar bff carli quick
0,sac need carri
0,hi durban still number
0,also fuck famili go rhode island wherev fuck leav alon week new bong gt
1,current lead bid paus auction send custom care 08718726270
0,yar lor wan 2 go c hors race today mah eat earlier lor ate chicken rice u
0,call say come today ok tell fool like ok
0,happen adventur
0,yup msg tat yiju tot group mate co meet today mah askin ü leav earlier wat mah co mayb ü haf walk v far
0,beliv come home
0,posibl dnt live lt gt centuri cm frwd n thnk differ
0,thursday night yeah sure thing work
0,great get worri know wonder care person like best life know u r wonder god love
0,eh u send wrongli lar
0,apo mokka player
0,way make sure u get train worc foreg street shrub hill fun night x
0,yup shd haf ard 10 page add figur ü got mani page
0,told tell stupid hear wont tell anyth dad call brother spoken
0,one interest may busi plan
0,friend help us problem give stupid suggest land us anoth problem help us forgt previou problem
0,cant wait see photo use
0,dont know exactli could ask chechi
0,sorri got late start way
0,u still havent got urself jacket ah
0,draw va dont think
0,u know watchin lido
0,hope good week check
0,good morn princess great day
0,first time everyth
0,welp appar retir
0,ps u ur grown right
0,slave want take 2 3 pictur today bright light cell phone bright light
0,ok lor ü reach messag
0,thought get watch co that kind thing u get4an18th love much
0,mode men left
0,ok darlin supos ok worri film stuff mate babysit call
0,waqt se pehl naseeb se zyada kisi ko kuch nahi milta zindgi wo nahi jo hum socht hai zindgi wo hai jo ham jeetey hai
0,k head min see
0,oh god happi see messag 3 day
0,see thought
0,pl tell nelson bb longer comin money expect aint come
0,2 sleep bag 1 blanket paper phone detail anyth els
0,otherwis part time job
0,good crickit mind
0,pain could come wors time
0,reckon need town eightish walk carpark
0,pleas attend phone
0,u studi sch go home anyway b go 2 sch later
0,haha dinner cousin
0,set place heart mind mind easili forget heart alway rememb wish happi valentin day
0,show wot say could u c 4 dust
0,listened2th plaid gd new air1 abel u hav2hear c u sn xxxx
0,good morn repair shop reason hour
0,u sure u ca take sick time
0,better still catch let ask sell lt gt
0,tell someth that okay
0,hi wkend ok journey terribl wk good huge back log mark
0,nope juz work
1,contact date servic someon know find call land line pobox45w2tg150p
0,oh take test
0,think tantrum finish yeah point
0,hey book 2 lesson sun liao
0,babe hope shit night sleep fell asleep knacker dread work tonight thou upto tonight x
1,download mani rington u like restrict 1000 2 choos u even send 2 yr buddi txt sir 80082
0,realli master
0,hahaha use brain dear
0,ye pleas leav lt gt lt gt leav
0,ok thk got u wan 2 come wat
0,realli sorri wo b abl 2 u find yr term go ok
0,find way includ detail
0,1 go write msg 2 put dictionari mode 3 cover screen hand 4 press lt gt 5 gentli remov ur hand interest
0,wil reach
0,hiya good day spoken sinc weekend
0,u goin 2nite
0,im wonder right
1,award sipix digit camera call 09061221061 landlin deliveri within 28day cs box177 m221bp 2yr warranti 150ppm 16 p
0,sell ton coin sell coin someon thru paypal voila money back life pocket
0,boo way mom make tortilla soup yummmm
0,lol oh got friend dog
0,one
0,hmm well night night
0,still check da
0,u welcom caught u use broken english
0,wish beauti day moment reveal even thing keep smile enjoy
0,realli quit funni lor wat u shd haf run shorter distanc wat
0,nah think goe usf live around though
0,oh thank lot alreadi bought 2 egg
0,also sorta blown coupl time recent id rather text blue look weed
0,ok problem get taxi c ing tomorrow tuesday tuesday think r go cinema
0,get chicken broth want ramen unless know
0,nutter cutter ctter cttergg cttargg ctargg ctagg ie
1,text meet someon sexi today u find date even flirt join 4 10p repli name age eg sam 25 18 recd thirtyeight penc
0,soon real thing princess make wet
0,anoth month need chocol weed alcohol
0,dear good morn
0,oh oki lor go sat
0,good morn plz call sir
0,hi babe thank come even though didnt go well want bed hope see soon love kiss xxx
0,number u live 11
0,remind get shall
0,sir wait letter
0,like made throw smoke friend car one time awesom
0,ask u meet da ge tmr nite
0,look fuckin time fuck think
0,give plu said grinul greet whenev speak
0,good day teeth pain maintain stuff
0,account number
0,ic lotta childporn car
0,jesu armand realli tri tell everybodi find
1,januari male sale hot gay chat cheaper call nation rate cheap peak stop text call 08712460324
0,tire slept well past night
1,free 1st week no1 nokia tone 4 ur mob everi week txt nokia 87077 get txting tell ur mate zed pobox 36504 w45wq
0,gibb hussey
0,mani day sinc
0,put parti 7 day week studi lightli think need draw custom checkbox know hardcor
0,ooh 4got gon na start belli danc moseley wed u want 2 join cafe
1,guarante cash prize claim yr prize call custom servic repres 08714712379 cost 10p
0,use hope agent drop sinc book thing year whole boston nyc experi
0,take care financi help
0,dont pick call someth import tell hrishi
0,watch tv
0,problem u frm wat matter
1,xma reward wait comput randomli pick loyal mobil custom receiv reward call 09066380611
0,ok lor soni ericsson salesman ask shuhui say quit gd 2 use consid
0,haha awesom 4u coupl time come
0,raji pl favour pl convey birthday wish nimya pl today birthday
0,noth realli make sure everybodi speed
0,yup
0,time come
0,ok what ur today plan
0,awesom lem know whenev around
0,shall call dear food
0,k u bore come home
0,ok lar joke wif u oni
0,dont want hear anyth
0,sunday holiday work
0,k wait chikku il send aftr lt gt min
1,urgent 4 costa del sol holiday await collect call 09050090044 toclaim sae tc pobox334 stockport sk38xh max10min
0,ill littl closer like bu stop street
0,hi elain today meet confirm
0,wan na gym
1,camera award sipix digit camera call 09061221066 fromm landlin deliveri within 28 day
1,free messag activ 500 free text messag repli messag word free term condit visit
0,sinc side fever vomitin
1,doubl min txt orang price linerent motorola sonyericsson free call mobileupd8 08000839402
0,seen back holbi
0,yar els thk sort funni thing
0,manag puzzel
0,final match head toward draw predict
0,way offic da
0,mile smile r made frm letter u know differ smile ur face keep happi even though mile away u keep smile good nyt
0,u go back urself lor
0,love aathi love u lot
1,shop till u drop either 10k 5k cash travel voucher call ntt po box cr01327bt fixedlin cost 150ppm mobil vari
0,next lt gt hour imma flip shit
0,necessarili respect
0,tri weekend v
0,nope forgot show next week
1,hi ya babe x u 4goten bout scammer get smart though regular vodafon respond get prem rate no use also bewar
1,urgent tri contact last weekend draw show u prize guarante call 09064017295 claim code k52 valid 12hr 150p pm
0,probabl lt gt
0,congrat treat mail 2 mail mother mail
0,much fight good nite
0,u horribl gal u knew dat go wif yest n u still come n ask
0,love smell bu ai tobacco
0,gentl babi soon take lt gt inch deep insid tight pussi
0,ye princess want pleas everi night wish command
0,lov line hurt truth mind wil ur someon never comfort lie gud ni8 sweet dream
0,u say leh cours noth happen lar say v romant ju bit lor thk e nite sceneri nice leh
0,caus old live high
1,date two start sent text talk sport radio last week connect think coincid
0,hi darlin im way london smash anoth driver big dent im realli miss u u xxx
0,sorri call later meet
0,hi email address chang
0,fine give call know want question
0,free
0,pl give prometazin syrup 5ml lt gt min later feed
0,dint slept afternoon
1,congratul thank good friend u xma prize 2 claim easi call 08718726971 10p per minut
0,hey ad crap nite borin without ya 2 boggi u bore biatch thanx u wait til nxt time il ave ya
0,sent score sopha secondari applic school think think appli research cost also contact joke ogunrind school one less expens one
0,yo im right yo work
0,samu shoulder yet
0,hi mom might back later lt gt
0,happen tell truth
0,two carton u pleas shelv
1,free entri gr8prize wkli comp 4 chanc win latest nokia 8800 psp cash everi great 80878 08715705022
0,sure night menu know noon menu
0,compliment away system side
0,sorri call later
0,actual send remind today wonder weekend
0,shb b ok lor thanx
0,cold dont sad dear
0,parent kidz friend n colleagu scream surpris wait sofa nake
0,hey book kb sat alreadi lesson go ah keep sat night free need meet confirm lodg
